Date,Close
14/12/2015,461
15/12/2015,475
16/12/2015,472.899994
17/12/2015,481
18/12/2015,484
21/12/2015,483.799988
22/12/2015,490
23/12/2015,486.5
24/12/2015,490
28/12/2015,486.899994
29/12/2015,487.549988
30/12/2015,504.350006
31/12/2015,500.799988
01/01/2016,510
04/01/2016,506.799988
05/01/2016,492.100006
06/01/2016,500.950012
07/01/2016,494
08/01/2016,490
11/01/2016,499.950012
12/01/2016,496.799988
13/01/2016,494.049988
14/01/2016,480.600006
15/01/2016,486
18/01/2016,468
19/01/2016,466
20/01/2016,463.899994
21/01/2016,467.299988
22/01/2016,476
25/01/2016,490
27/01/2016,485
28/01/2016,480
29/01/2016,475
01/02/2016,477.799988
02/02/2016,465.25
03/02/2016,442.950012
04/02/2016,447.399994
05/02/2016,436.149994
08/02/2016,449
09/02/2016,437
10/02/2016,421.450012
11/02/2016,427
12/02/2016,409
15/02/2016,416
16/02/2016,428.25
17/02/2016,413.850006
18/02/2016,411.700012
19/02/2016,410
22/02/2016,421.950012
23/02/2016,425.5
24/02/2016,410
25/02/2016,398.600006
26/02/2016,396
29/02/2016,413
01/03/2016,423.899994
02/03/2016,445
03/03/2016,454.100006
04/03/2016,448
08/03/2016,448.200012
09/03/2016,448.899994
10/03/2016,467
11/03/2016,459.299988
14/03/2016,465
15/03/2016,456.899994
16/03/2016,454.75
17/03/2016,448.5
18/03/2016,452.700012
21/03/2016,465.25
22/03/2016,471.5
23/03/2016,479
28/03/2016,477.75
29/03/2016,473.600006
30/03/2016,481.950012
31/03/2016,489.899994
01/04/2016,489.200012
04/04/2016,488
05/04/2016,483.5
06/04/2016,469.950012
07/04/2016,468
08/04/2016,467.25
11/04/2016,479.700012
12/04/2016,478
13/04/2016,481.899994
18/04/2016,484.899994
20/04/2016,486.899994
21/04/2016,468.899994
22/04/2016,464.899994
25/04/2016,459
26/04/2016,455
27/04/2016,463
28/04/2016,463.799988
29/04/2016,458
02/05/2016,459.399994
03/05/2016,462
04/05/2016,451.700012
05/05/2016,453.399994
06/05/2016,449.399994
09/05/2016,453.899994
10/05/2016,462.299988
11/05/2016,455.899994
12/05/2016,451.450012
13/05/2016,469
16/05/2016,458.549988
17/05/2016,464.100006
18/05/2016,459.899994
19/05/2016,461
20/05/2016,456
23/05/2016,448
24/05/2016,435.25
25/05/2016,439
26/05/2016,445.100006
27/05/2016,459.399994
30/05/2016,463.899994
31/05/2016,469.899994
01/06/2016,470.299988
02/06/2016,467.5
03/06/2016,476.950012
06/06/2016,476
07/06/2016,468.549988
08/06/2016,477.799988
09/06/2016,481.950012
10/06/2016,477
13/06/2016,469.899994
14/06/2016,470
15/06/2016,470.799988
16/06/2016,479.399994
17/06/2016,472.299988
20/06/2016,471.100006
21/06/2016,481.549988
22/06/2016,485
23/06/2016,485
24/06/2016,477.649994
27/06/2016,476
28/06/2016,483.899994
29/06/2016,500
30/06/2016,493
01/07/2016,495.049988
04/07/2016,502.700012
05/07/2016,502
07/07/2016,499.700012
08/07/2016,498
11/07/2016,518.200012
12/07/2016,526
13/07/2016,522.549988
14/07/2016,513.700012
15/07/2016,510
18/07/2016,529.799988
19/07/2016,522.700012
20/07/2016,510
21/07/2016,506.75
22/07/2016,504.700012
25/07/2016,511.5
26/07/2016,519
27/07/2016,513.950012
28/07/2016,516.950012
29/07/2016,514.200012
01/08/2016,522.049988
02/08/2016,522
03/08/2016,514.799988
04/08/2016,502.25
05/08/2016,516
08/08/2016,520.099976
09/08/2016,522.849976
10/08/2016,520.900024
11/08/2016,512.25
12/08/2016,522
16/08/2016,555
17/08/2016,548
18/08/2016,549.200012
19/08/2016,554.799988
22/08/2016,553
23/08/2016,549.900024
24/08/2016,552.5
25/08/2016,555.650024
26/08/2016,559
29/08/2016,579.849976
30/08/2016,574
31/08/2016,575.150024
01/09/2016,573
02/09/2016,572.549988
06/09/2016,577.25
07/09/2016,593.950012
08/09/2016,585.200012
09/09/2016,582
12/09/2016,574.5
14/09/2016,563.950012
15/09/2016,575
16/09/2016,568.799988
19/09/2016,574
20/09/2016,570.049988
21/09/2016,571.849976
22/09/2016,580
23/09/2016,579
26/09/2016,574.900024
27/09/2016,573.900024
28/09/2016,572.799988
29/09/2016,592
30/09/2016,564.900024
03/10/2016,585
04/10/2016,598
05/10/2016,604.450012
06/10/2016,596.799988
07/10/2016,594.299988
10/10/2016,605
13/10/2016,592
14/10/2016,586.700012
17/10/2016,589
18/10/2016,582.799988
19/10/2016,615
20/10/2016,617.25
21/10/2016,610.5
24/10/2016,604.099976
25/10/2016,603
26/10/2016,595.900024
27/10/2016,584
28/10/2016,582.5
01/11/2016,586
02/11/2016,581
03/11/2016,573
04/11/2016,550.5
07/11/2016,544.900024
08/11/2016,544
09/11/2016,500
10/11/2016,535
11/11/2016,536.099976
15/11/2016,520.450012
16/11/2016,488
17/11/2016,516.299988
18/11/2016,506
21/11/2016,521
22/11/2016,502.5
23/11/2016,525
24/11/2016,526
25/11/2016,523.950012
28/11/2016,531.099976
29/11/2016,542
30/11/2016,547.299988
01/12/2016,567.099976
02/12/2016,566.299988
05/12/2016,558
06/12/2016,566.599976
07/12/2016,566.5
08/12/2016,559.400024
09/12/2016,568.549988
12/12/2016,571.200012
13/12/2016,566.650024
14/12/2016,554
15/12/2016,540.200012
16/12/2016,558
19/12/2016,549.900024
20/12/2016,549
21/12/2016,548.049988
22/12/2016,542
23/12/2016,537.700012
26/12/2016,542
27/12/2016,537.450012
28/12/2016,544
29/12/2016,549
30/12/2016,559.75
02/01/2017,560.200012
03/01/2017,525
04/01/2017,535
05/01/2017,519.049988
06/01/2017,524.5
09/01/2017,526
10/01/2017,525.900024
11/01/2017,524.200012
12/01/2017,535.349976
13/01/2017,528.950012
16/01/2017,531.150024
17/01/2017,545.349976
18/01/2017,531.900024
19/01/2017,531.700012
20/01/2017,526
23/01/2017,516
24/01/2017,528.5
25/01/2017,529.5
27/01/2017,548
30/01/2017,557.450012
31/01/2017,561.75
01/02/2017,557
02/02/2017,572.900024
03/02/2017,560.099976
06/02/2017,561.700012
07/02/2017,561
08/02/2017,557
09/02/2017,555
10/02/2017,561
13/02/2017,556.099976
14/02/2017,556
15/02/2017,546.049988
16/02/2017,550.299988
17/02/2017,550.5
20/02/2017,556.5
21/02/2017,559
22/02/2017,558.5
23/02/2017,562.299988
27/02/2017,568
28/02/2017,568
01/03/2017,563
02/03/2017,564
03/03/2017,552.5
06/03/2017,557
07/03/2017,568.5
08/03/2017,570.299988
09/03/2017,567.200012
10/03/2017,569.299988
14/03/2017,574.900024
15/03/2017,582.049988
16/03/2017,590
17/03/2017,594.650024
20/03/2017,588.400024
21/03/2017,591.599976
22/03/2017,584
23/03/2017,587
24/03/2017,600.5
27/03/2017,601.200012
28/03/2017,609.5
29/03/2017,615
30/03/2017,615.5
31/03/2017,623
03/04/2017,619
05/04/2017,625.700012
06/04/2017,622.900024
07/04/2017,621
10/04/2017,626
11/04/2017,628
12/04/2017,621
13/04/2017,630
17/04/2017,632
18/04/2017,640.450012
19/04/2017,642.950012
20/04/2017,645
21/04/2017,644
24/04/2017,643.5
25/04/2017,665
26/04/2017,687.799988
27/04/2017,676.5
28/04/2017,669.799988
02/05/2017,668.849976
03/05/2017,703.25
04/05/2017,704.950012
05/05/2017,715
08/05/2017,723.700012
09/05/2017,705
10/05/2017,682.900024
11/05/2017,697.349976
12/05/2017,691
15/05/2017,685
16/05/2017,686
17/05/2017,696
18/05/2017,683.5
19/05/2017,677.049988
22/05/2017,688.900024
23/05/2017,676.349976
24/05/2017,670.950012
25/05/2017,673.400024
26/05/2017,686
29/05/2017,706
30/05/2017,698.549988
31/05/2017,715
01/06/2017,733.900024
02/06/2017,742
05/06/2017,731.5
06/06/2017,740
07/06/2017,740.400024
08/06/2017,745
09/06/2017,741.900024
12/06/2017,758.700012
13/06/2017,759.599976
14/06/2017,783
15/06/2017,772.150024
16/06/2017,779.900024
19/06/2017,781.400024
20/06/2017,777
21/06/2017,774.799988
22/06/2017,773
23/06/2017,771.700012
27/06/2017,753.5
28/06/2017,741.25
29/06/2017,746
30/06/2017,737.900024
03/07/2017,745.700012
04/07/2017,755
05/07/2017,749.5
06/07/2017,753.5
07/07/2017,751.75
10/07/2017,745.049988
11/07/2017,747
12/07/2017,724
13/07/2017,728.700012
14/07/2017,738.5
17/07/2017,742.849976
18/07/2017,742
19/07/2017,744.349976
20/07/2017,752.900024
21/07/2017,751.299988
24/07/2017,741.400024
25/07/2017,742.900024
26/07/2017,732.900024
27/07/2017,740
28/07/2017,739
31/07/2017,714.900024
01/08/2017,690.75
02/08/2017,694.799988
03/08/2017,692.950012
04/08/2017,681
07/08/2017,688
08/08/2017,684.25
09/08/2017,679.900024
10/08/2017,674.25
11/08/2017,647.049988
14/08/2017,653
16/08/2017,660.900024
17/08/2017,662
18/08/2017,654
21/08/2017,660
22/08/2017,653.700012
23/08/2017,638
24/08/2017,662
28/08/2017,657.700012
29/08/2017,655
30/08/2017,664
31/08/2017,664.700012
01/09/2017,677.900024
04/09/2017,684
05/09/2017,679.599976
06/09/2017,675
07/09/2017,679.200012
08/09/2017,671.599976
11/09/2017,664.900024
12/09/2017,659.25
13/09/2017,660.25
14/09/2017,663.200012
15/09/2017,651.099976
18/09/2017,650
19/09/2017,655
20/09/2017,654
21/09/2017,650.700012
22/09/2017,658.25
25/09/2017,636.299988
26/09/2017,622.099976
27/09/2017,622.25
28/09/2017,611.400024
29/09/2017,622.5
03/10/2017,632.200012
04/10/2017,644
05/10/2017,644
06/10/2017,653.900024
09/10/2017,665
10/10/2017,666
11/10/2017,665.900024
12/10/2017,640
13/10/2017,651.599976
16/10/2017,656
17/10/2017,660.349976
18/10/2017,669
19/10/2017,670
23/10/2017,663.099976
24/10/2017,651
25/10/2017,639.900024
26/10/2017,613.049988
27/10/2017,616.25
30/10/2017,619
31/10/2017,605.299988
01/11/2017,599
02/11/2017,598
03/11/2017,608.5
06/11/2017,607
07/11/2017,608
08/11/2017,601.599976
09/11/2017,586.799988
10/11/2017,583
13/11/2017,587.450012
14/11/2017,585
15/11/2017,586
16/11/2017,580.25
17/11/2017,599
20/11/2017,605.950012
21/11/2017,606.700012
22/11/2017,602.200012
23/11/2017,599.450012
24/11/2017,603
27/11/2017,596.700012
28/11/2017,593.099976
29/11/2017,598.299988
30/11/2017,597.950012
01/12/2017,585.5
04/12/2017,572.5
05/12/2017,570.349976
06/12/2017,572.5
07/12/2017,552.5
08/12/2017,563.700012
11/12/2017,568.849976
12/12/2017,562.099976
13/12/2017,551.450012
14/12/2017,548
15/12/2017,552.049988
18/12/2017,549.450012
19/12/2017,562
20/12/2017,566.849976
21/12/2017,569
22/12/2017,575.099976
26/12/2017,567
27/12/2017,569.400024
28/12/2017,567
29/12/2017,562.349976
01/01/2018,565.5
02/01/2018,567.650024
03/01/2018,563.349976
04/01/2018,567.349976
05/01/2018,568.200012
08/01/2018,575.400024
09/01/2018,585.950012
10/01/2018,577.5
11/01/2018,574.950012
12/01/2018,571.5
15/01/2018,569
16/01/2018,569
17/01/2018,553.700012
